Spanish,English
agente,agent
comida,food
buscar,Search
muerto,dead
mil,one thousand
cara,expensive
falta,lack
acabar,finish
probablemente,probably
detrás,behind
tampoco,either
pequeña,small
sino,otherwise
comer,to eat
recuerdo,memory
malo,bad
trabajar,to work
segundo,second
final,final
jugar,play
poner,put
amo,love
importante,important
dado,given
odio,hatred
sonar,Dream
suficiente,enough
usar,use
supuesto,supposed
serio,I laughed
luz,light
morir,To die
loco,crazy
corazón,heart
tierra,Earth
diez,ten
resto,rest
vuelta,lap
tras,after
alto,tall
culpa,fault
lamento,lament
preocupar,worry
arriba,up
fiesta,party
joven,young man
cuarto,fourth
fácil,easy
llamado,called
perder,lose
sal,Salt
bastar,be enough
pregunta,Question
trato,deal
recordar,to remember
oído,ear
rey,king
exactamente,exactly
arma,weapon
perro,dog
propio,own self
temer,fear
adelante,ahead
lista,ready
próximo,next
abrir,open
fuerte,strong
lejos,far
puta,bitch
peor,worse
general,general
andar,walk
frente,front
mes,month
gusto,taste
ustedes,your
hermana,sister
millón,million
pobre,poor
palabra,word
escuela,school
seguridad,security
sistema,system
disculpar,excuse
asunto,affair
nave,ship
aun,still
plan,plan
traje,costume
sentido,sense
control,control
cambiar,change
traer,bring
presidente,President
grupo,cluster
genial,cool
simplemente,simply
prueba,Test
junto,together
perdido,lost
oportunidad,chance
conseguir,get
pueblo,village
veras,you'll see
puesto,Market Stall
orden,order
cambio,change
perdón,sorry
atrás,behind
través,through
mitad,half
fuerza,strength
ante,in view of
carajo,fuck
libro,book
ropa,clothing
querido,Dear
abajo,down
campo,countryside
según,according to
derecho,law
calle,street
callar,to silence
encantar,love
ayudar,help
asesino,assassin
centro,center
pagar,to pay
viaje,trip
porqué,because
oficial,official
posible,possible
acá,here
baja,short
oficina,office
modo,mode
dormir,sleep
media,half
salvar,save
profesor,professor
excepto,except
fuego,fire
ojalá,I wish
largo,length
línea,line
verdadero,real
siete,seven
ganar,gain
james,James
sitio,place
comprar,to buy
ejército,army
país,country
extraño,weird
niña,little girl
dólar,dollar
placer,pleasure
dolor,pain
sala,living room
caballero,Knight
sueño,sleep
completamente,completely
totalmente,totally
coche,car
afuera,outside
encima,over
llamada,call
bebé,baby
regresar,to return
bienvenido,Welcome
empezar,start
terminar,end up
teléfono,telephone
compañía,company
pena,grief
sacar,take
ataque,attack
apenas,barely
caja,cash register
suceder,happen
cielo,darling
información,information
programa,Program
duro,Lasted
negocio,business
ambos,both of them
noticia,News
foto,Photo
cerrar,to close
lindo,pretty
